# slug	mapName	template
baigu_shan	白骨山	baigu_shan.png
changan	长安	changan.png
changan_chengdong	长安城东	changan_chengdong.png
datang_bianjing	大唐边境	datang_bianjing.png
dayanta3	大雁塔三层	dayanta3.png
dayanta4	大雁塔四层	dayanta4.png
dayanta5	大雁塔五层	dayanta5.png
fengchao5	凤巢五层	fengchao5.png
fengchao6	凤巢六层	fengchao6.png
fengchao7	凤巢七层	fengchao7.png
lanruo_si	兰若寺	lanruo_si.png
longku5	龙窟五层	longku5.png
longku6	龙窟六层	longku6.png
longku7	龙窟七层	longku7.png
luoyang_cheng	洛阳城	luoyang_cheng.png
pantao_yuan	蟠桃园	pantao_yuan.png
sisheng_zhuang	四圣庄	sisheng_zhuang.png
wanshou_shan	万寿山	wanshou_shan.png
yaochi	瑶池	yaochi.png
